Date,Open,High,Low,Close
10/18/2004,482.58,482.58,473.51,478.04
10/19/2004,476.23,480.76,474.41,475.32
10/20/2004,477.14,478.95,468.06,468.06
10/21/2004,468.06,471.69,462.62,468.06
10/24/2004,472.60,476.23,457.18,467.16
10/25/2004,466.25,478.95,458.99,471.69
10/26/2004,481.67,485.30,475.32,482.58
10/27/2004,486.21,512.51,485.30,491.65
10/28/2004,487.11,498.91,487.11,491.65
10/31/2004,522.49,531.56,507.98,507.98
11/1/2004,507.98,520.68,490.74,507.98
11/2/2004,511.61,536.10,510.70,526.12
11/3/2004,530.66,531.56,517.05,523.40
11/4/2004,527.03,528.84,511.61,512.51
11/7/2004,501.63,502.53,494.37,496.19
11/8/2004,495.28,498.00,489.84,498.00
11/9/2004,498.91,512.51,495.28,502.53
11/10/2004,504.35,510.70,500.72,503.44
11/21/2004,504.35,507.98,498.91,500.72
11/22/2004,500.72,501.63,492.56,495.28
11/23/2004,494.37,495.28,488.02,489.84
11/24/2004,488.93,489.84,482.58,484.39
11/25/2004,482.58,486.21,471.69,479.86
11/28/2004,493.46,500.72,487.11,493.46
11/29/2004,493.46,502.53,491.65,497.09
11/30/2004,495.28,506.16,489.84,502.53
12/1/2004,506.16,511.61,497.09,500.72
12/2/2004,500.72,502.53,493.46,495.28
12/5/2004,476.23,489.84,475.32,486.21
12/6/2004,487.11,489.84,475.32,480.76
12/7/2004,481.67,486.21,478.95,482.58
12/8/2004,480.76,482.58,471.69,480.76
12/9/2004,482.58,488.02,478.04,478.04
12/12/2004,494.37,507.98,489.84,496.19
12/13/2004,498.91,498.91,492.56,495.28
12/14/2004,494.37,496.19,489.84,489.84
12/15/2004,489.84,493.46,486.21,488.93
12/16/2004,489.84,494.37,486.21,492.56
12/19/2004,488.02,488.02,478.04,480.76
12/20/2004,484.39,486.21,480.76,483.49
12/21/2004,485.30,488.93,484.39,487.11
12/22/2004,487.11,488.02,481.67,483.49
12/23/2004,482.58,482.58,480.76,481.67
12/26/2004,476.23,477.14,460.81,465.34
12/27/2004,462.62,464.44,419.99,451.74
12/28/2004,442.67,471.69,431.78,467.16
12/29/2004,468.97,469.88,457.18,462.62
12/30/2004,463.53,485.30,460.81,473.51
1/2/2005,471.69,472.60,461.72,468.06
1/3/2005,467.16,470.79,466.25,468.06
1/4/2005,468.06,468.97,464.44,467.16
1/5/2005,467.16,470.79,464.44,466.25
1/6/2005,466.25,467.16,464.44,466.25
1/9/2005,460.81,461.72,449.92,455.37
1/10/2005,453.55,458.99,451.74,453.55
1/11/2005,455.37,459.90,454.46,458.99
1/12/2005,460.81,465.34,457.18,463.53
1/13/2005,463.53,464.44,457.18,458.99
1/16/2005,457.18,460.81,455.37,457.18
1/17/2005,457.18,457.18,453.55,455.37
1/18/2005,454.46,457.18,449.92,451.74
1/19/2005,453.55,458.09,449.92,457.18
1/30/2005,443.57,449.92,435.41,437.22
1/31/2005,417.27,437.22,417.27,420.90
2/1/2005,421.80,435.41,420.90,427.25
2/2/2005,426.34,426.34,410.01,413.64
2/3/2005,404.57,415.45,402.75,410.92
2/6/2005,366.47,406.38,351.05,406.38
2/7/2005,405.47,429.06,397.31,419.08
2/8/2005,420.90,430.87,417.27,419.99
2/9/2005,418.17,420.90,413.64,418.17
2/10/2005,417.27,417.27,410.01,411.82
2/13/2005,402.75,412.73,399.13,410.01
2/14/2005,410.01,420.90,409.10,411.82
2/15/2005,410.92,412.73,405.47,406.38
2/16/2005,405.47,408.20,393.68,400.94
